seqid,Gene,Target,Target_description,nr_pathways
6290_3_3,UTS2B,UTS2B,Urotensin-2B,0
6294_11_3,BAGE2,BAGE2,B melanoma antigen 2,0
6304_8_3,C1QTNF1,C1QT1,Complement C1q tumor necrosis factor-related protein 1,0
6352_8_3,INSRR,INSRR,Insulin receptor-related protein,0
6354_13_3,HEPHL1,HPHL1,Hephaestin-like protein 1,0
6356_3_3,CPB1,Carboxypeptidase B1,Carboxypeptidase B,1
6360_7_3,DEFB128,DB128,Beta-defensin 128,2
6361_49_3,PTPRR,PTPRR,Receptor-type tyrosine-protein phosphatase R,0
6362_6_3,C2orf40,AUGN,Augurin,0
6378_2_3,C5orf38,CEI,Protein CEI,0
6379_62_3,ADAMTSL2,ATL2,ADAMTS-like protein 2,0
6382_17_3,MANBA,MANBA,Beta-mannosidase,1
6389_57_3,CUEDC2,CUED2,CUE domain-containing protein 2,0
6390_18_3,NPS,NPS,Neuropeptide S,0
6399_52_3,DEFB107A,D107A,Beta-defensin 107,2
6404_20_3,C1QL1,C1QRF,C1q-related factor,0
6405_74_3,PSG2,PSG2,Pregnancy-specific beta-1-glycoprotein 2,1
6409_57_3,ADGRF5,GP116,Adhesion G protein-coupled receptor F5,0
6410_26_3,INSL4,INSL4,Early placenta insulin-like peptide,0
6412_26_3,IER3IP1,IR3IP,Immediate early response 3-interacting protein 1,0
6420_4_3,SDHAF2,SDHF2,"Succinate dehydrogenase assembly factor 2, mitochondrial",0
6421_52_3,IFNA16,IFN16,Interferon alpha-16,9
6424_2_3,RNASE13,RNS13,Probable inactive ribonuclease-like protein 13,0
6425_87_3,MMP19,MMP19,Matrix metalloproteinase-19,13
6430_36_3,FAM19A2,F19A2,Protein FAM19A2,0
6431_68_3,PCYOX1,PCYOX,Prenylcysteine oxidase 1,5
6444_15_3,PSG3,PSG3,Pregnancy-specific beta-1-glycoprotein 3,1
6447_73_3,PTX3,PTX3,Pentraxin-related protein PTX3,2
6453_70_3,LILRB4,LIRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,1
6462_12_3,TIMP4,TIMP-4,Metalloproteinase inhibitor 4,1
6463_59_3,QRFP,OX26,Orexigenic neuropeptide QRFP,0
6464_40_3,PVRIG,PVRIG,Transmembrane protein PVRIG,0
6470_19_3,FBLN1,fibulin 1,Fibulin-1,0
6471_53_3,CFHR4,FHR4,Complement factor H-related protein 4,0
6472_40_3,PMEL,GP100,Melanocyte protein PMEL,0
6484_11_3,POSTN,Periostin,Periostin,1
6512_68_3,KREMEN1,KREM1,Kremen protein 1,0
6521_35_3,NPTX2,NPTX2,Neuronal pentraxin-2,0
6525_17_3,DUSP13,DUSP13,Dual specificity protein phosphatase 13 isoform A,0
6530_63_3,PROL1,PROL1,Proline-rich protein 1,0
6531_29_3,FAM162A,F162A,Protein FAM162A,0
6536_54_3,PLBD2,LAML2,Putative phospholipase B-like 2,1
6544_33_3,NELL1,NELL1,Protein kinase C-binding protein NELL1,0
6545_58_3,PRNP,PRIO,Major prion protein,0
6550_4_3,ICAM4,ICAM4,Intercellular adhesion molecule 4,2
6551_94_3,SERPINA12,Vaspin,Serpin A12,2
6570_1_3,COL13A1,CODA1,Collagen alpha-1(XIII) chain,8
6577_64_3,LAMA4,LAMA4,Laminin subunit alpha-4,1
6583_67_3,SERPINA10,protein Z inhibitor,Protein Z-dependent protease inhibitor,4
6586_19_3,ADAM11,ADA11,Disintegrin and metalloproteinase domain-containing protein 11,2
6590_54_3,NRP2,Neuropilin-2,Neuropilin-2,1
6603_18_3,KAL1,KALM,Anosmin-1,0
6606_61_3,KISS1,KISS1,Metastasis-suppressor KiSS-1,0
6617_12_3,FCRL6,FCRL6,Fc receptor-like protein 6,0
6627_25_3,PNLIPRP1,LIPR1,Inactive pancreatic lipase-related protein 1,0
6643_62_3,CD47,CD47,Leukocyte surface antigen CD47,4
6650_20_3,POSTN,Periostin,Periostin,1
6713_4_3,LRP11,LRP11,Low-density lipoprotein receptor-related protein 11,0
6896_3_3,C1orf162,CA162,Transmembrane protein C1orf162,0
6904_14_3,LRRTM2,LRRT2,Leucine-rich repeat transmembrane neuronal protein 2,1
6914_15_3,AMIGO2,AMGO2,Amphoterin-induced protein 2,0
6917_49_3,LRRC3,LRRC3,Leucine-rich repeat-containing protein 3,0
6923_1_3,PLOD2,PLOD2,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",0
6940_18_3,JPH1,JPH1,Junctophilin-1,0
6955_68_3,SNX1,SNX1,Sorting nexin-1,0
6956_37_3,FAF2,FAF2,FAS-associated factor 2,1
6973_2_3,IGF2,IGF-II,Insulin-like growth factor II,6
6990_44_3,SDF2L1,SDF2L,Stromal cell-derived factor 2-like protein 1,0
7003_4_3,GALNT10,GLT10,Polypeptide N-acetylgalactosaminyltransferase 10,0
7007_24_3,TRAPPC4,TRAPPC4,Trafficking protein particle complex subunit 4,0
7008_13_3,EVA1C,F176C,Protein eva-1 homolog C,0
7012_35_3,VNN2,VNN2,Vascular non-inflammatory molecule 2,0
7020_13_3,CHST5,CHST5,Carbohydrate sulfotransferase 5,0
7048_4_3,CEACAM19,CEA19,Carcinoembryonic antigen-related cell adhesion molecule 19,0
7064_2_4,VAMP8,VAMP8,Vesicle-associated membrane protein 8,1
7065_1_4,G6B,G6B,Protein G6b,0
7066_199_4,FAM209B,F209B,Protein FAM209B,0
7070_25_4,KEL,KELL,Kell blood group glycoprotein,1
7082_2_3,B3GNT6,B3GN6,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6",0
7084_1_3,DRAXIN,DRAXI,Draxin,0
7099_33_3,FSTL5,FSTL5,Follistatin-related protein 5,0
7104_71_3,CABP7,CABP7,Calcium-binding protein 7,0
7106_37_3,OOSP2,PLACL,Oocyte-secreted protein 2,0
7125_4_3,RIC3,RIC3,Protein RIC-3,0
7127_3_3,APOA2,Apo A-II,Apolipoprotein A-II,8
7136_107_3,HBE1,Hemoglobin epsilon chain,Hemoglobin subunit epsilon,1
7140_1_3,CELA2A,ELA2A,Chymotrypsin-like elastase family member 2A,2
7145_1_3,ITIH3,ITIH3,Inter-alpha-trypsin inhibitor heavy chain H3,1
7146_16_3,PDIA4,PDIA4,Protein disulfide-isomerase A4,0
7154_92_3,LEG1,CF058,Protein LEG1 homolog,0
7157_22_3,PCDHA4,PCDA4,Protocadherin alpha-4,0
7161_25_3,H6PD,G6PE,GDH/6PGL endoplasmic bifunctional protein,0
7180_114_3,IFNA14,IFN14,Interferon alpha-14,14
7185_29_3,GP5,GPV,Platelet glycoprotein V,1
7196_21_3,IFNW1,IFN-w,Interferon omega-1,9
7201_5_3,ISCU,ISCU,"Iron-sulfur cluster assembly enzyme ISCU, mitochondrial",0
7206_20_3,FBP1,F16P1,"Fructose-1,6-bisphosphatase 1",2
7208_60_3,MGAT4C,MGT4C,"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C",0
7218_87_3,ATP1B2,AT1B2,Sodium/potassium-transporting ATPase subunit beta-2,1
7219_152_3,LIPA,LICH,Lysosomal acid lipase/cholesteryl ester hydrolase,0
7244_16_3,IGFLR1,TM149,IGF-like family receptor 1,0
7245_2_3,CELF2,CELF2,CUGBP Elav-like family member 2,0
7251_64_3,C1QTNF3,C1QT3,Complement C1q tumor necrosis factor-related protein 3,0
7253_6_3,QKI,QKI,Protein quaking,0
7267_2_3,SPTLC2,LCB2,Serine palmitoyltransferase 2,0
7268_12_3,IFNA4,IFNA4,Interferon alpha-4,14
7638_30_3,LMAN2,"Lectin, mannose-binding 2",Vesicular integral-membrane protein VIP36,0
7693_13_3,TNFRSF10B,TRAIL R2,Tumor necrosis factor receptor superfamily member 10B,3
7713_50_3,FMR1,FMR1,Fragile X mental retardation protein 1,1
7740_33_3,FATE1,FATE1,Fetal and adult testis-expressed transcript protein,0
7743_5_3,TIMM50,TIM50,Mitochondrial import inner membrane translocase subunit TIM50,1
7751_121_3,SFRP2,SARP-1,Secreted frizzled-related protein 2,4
7753_21_3,HTATIP2,HTAI2,Oxidoreductase HTATIP2,0
7761_125_3,CHKB,CHKB,Choline/ethanolamine kinase,0
7765_15_3,ITM2A,ITM2A,Integral membrane protein 2A,0
7769_29_3,SH3BP2,3BP2,SH3 domain-binding protein 2,0
7776_20_3,UNC5B,UNC5B,Netrin receptor UNC5B,2
7785_1_3,EFNB3,Ephrin-B3,Ephrin-B3,2
7789_182_3,PRDX4,PRDX4,Peroxiredoxin-4,1
7792_58_3,CCDC90B,CC90B,"Coiled-coil domain-containing protein 90B, mitochondrial",0
7795_14_3,KLRC3,NKG2E,NKG2-E type II integral membrane protein,1
7796_10_3,CD79A,CD79A,B-cell antigen receptor complex-associated protein alpha chain,0
7815_49_3,IGFBPL1,IBPL1,Insulin-like growth factor-binding protein-like 1,0
7818_101_3,GBP6,GBP6,Guanylate-binding protein 6,0
7823_22_3,ST6GALNAC2,SIA7B,"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2",0
7824_88_3,MSRB3,MSRB3,Methionine-R-sulfoxide reductase B3,0
7825_7_3,ABHD12,ABD12,Monoacylglycerol lipase ABHD12,0
7832_181_3,PDIA3,Protein disulfide isomerase A3,Protein disulfide-isomerase A3,7
7839_99_3,FAM19A3,F19A3,Protein FAM19A3,0
7842_52_3,SERF1A,SERF1,Small EDRK-rich factor 1,0
7856_51_3,FAM151A,F151A,Protein FAM151A,0
7861_9_3,ROR2,ROR2,Tyrosine-protein kinase transmembrane receptor ROR2,3
7881_244_3,PARP16,PAR16,Mono [ADP-ribose] polymerase PARP16,1
7893_19_3,OLR1,OLR1,Oxidized low-density lipoprotein receptor 1,2
7895_108_3,MRAP,MRAP,Melanocortin-2 receptor accessory protein,0
7898_29_3,MDM1,MDM1,Nuclear protein MDM1,0
7909_37_3,SHBG,SHBG,Sex hormone-binding globulin,0
7917_17_3,CPD,CBPD,Carboxypeptidase D,0
7920_30_3,ST8SIA2,SIA8B,"Alpha-2,8-sialyltransferase 8B",0
7921_65_3,FJX1,FJX1,Four-jointed box protein 1,0
7922_5_3,ADM,Adrenomedullin,Adrenomedullin,1
7923_41_3,SEMA4C,SEM4C,Semaphorin-4C,2
7927_16_3,ST6GALNAC5,SIA7E,"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5",0
7928_183_3,TPST1,TPST1,Protein-tyrosine sulfotransferase 1,0
7943_16_3,CUZD1,CUZD1,CUB and zona pellucida-like domain-containing protein 1,0
7947_19_3,ENTHD2,AP4AT,AP-4 complex accessory subunit tepsin,0
7953_20_3,SLAMF1,SLAF1,Signaling lymphocytic activation molecule,0
7960_53_3,POTEG,POTEG,POTE ankyrin domain family member G,0
7969_163_3,WFDC11,WFD11,Protein WFDC11,0
7970_315_3,ART3,NAR3,Ecto-ADP-ribosyltransferase 3,0
7981_230_3,B3GALT6,B3GT6,"Beta-1,3-galactosyltransferase 6",0
7999_23_3,ENTPD1,CD39,Ectonucleoside triphosphate diphosphohydrolase 1,1
8002_27_3,TMPRSS5,Spinesin,Transmembrane protease serine 5,0
8003_57_3,LGI3,LGI3,Leucine-rich repeat LGI family member 3,0
8005_1_3,MXRA7,MXRA7,Matrix-remodeling-associated protein 7,0
8013_9_3,LMAN2L,LMA2L,VIP36-like protein,0
8021_59_3,MRPL14,RM14,"39S ribosomal protein L14, mitochondrial",0
8028_22_3,SPINK5,SPINK5,Serine protease inhibitor Kazal-type 5,0
8032_23_3,MCCD1,MCCD1,Mitochondrial coiled-coil domain protein 1,0
8034_6_3,DRGX,DRGX,Dorsal root ganglia homeobox protein,0
8040_9_3,LEMD1,LEMD1,LEM domain-containing protein 1,0
8041_5_3,FNDC5,FNDC5,Fibronectin type III domain-containing protein 5,0
8043_153_3,COMP,COMP,Cartilage oligomeric matrix protein,1
8053_16_3,DNAJB14,DJB14,DnaJ homolog subfamily B member 14,0
8062_15_3,EVA1B,F176B,Protein eva-1 homolog B,0
8065_245_3,PATE4,PATE4,Prostate and testis expressed protein 4,0
8074_32_3,TMEM70,TMM70,"Transmembrane protein 70, mitochondrial",0
8080_24_3,MSMP,PSMP,Prostate-associated microseminoprotein,0
8086_49_3,ITM2B,ITM2B,Integral membrane protein 2B,0
8095_213_3,PPIF,Cyclophilin F,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",1
8232_90_3,AMICA1,JAML1,Junctional adhesion molecule-like,0
8233_2_3,ITIH5,ITIH5,Inter-alpha-trypsin inhibitor heavy chain H5,0
8235_48_3,CHGB,SCG1,Secretogranin-1,2
8237_56_3,SOSTDC1,SOSD1,Sclerostin domain-containing protein 1,0
8246_9_3,PCSK9,PCSK9,Proprotein convertase subtilisin/kexin type 9,2
8249_124_3,ALK,ALK,ALK tyrosine kinase receptor,2
8260_13_3,PDZK1IP1,PDZ1I,PDZK1-interacting protein 1,0
8262_20_3,APOD,Apo D,Apolipoprotein D,6
8275_31_3,PEAR1,PEAR1,Platelet endothelial aggregation receptor 1,0
8280_238_3,VTN,Vitronectin,Vitronectin,1
8289_8_3,GPNMB,GPNMB,Transmembrane glycoprotein NMB,0
8290_1_3,VAMP5,VAMP5,Vesicle-associated membrane protein 5,0
8296_117_3,KDELC2,KDEL2,KDEL motif-containing protein 2,0
8297_8_3,DNAJC10,DJC10,DnaJ homolog subfamily C member 10,0
8300_82_3,PEX14,PEX14,Peroxisomal membrane protein PEX14,0
8304_50_3,TNFRSF11B,OPG,Tumor necrosis factor receptor superfamily member 11B,29
8314_71_3,GNS,GNS,N-acetylglucosamine-6-sulfatase,2
8327_26_3,DPEP2,DPEP2,Dipeptidase 2,0
8337_65_3,PTPRU,PTPRU,Receptor-type tyrosine-protein phosphatase U,1
8339_72_3,GRP,Gastrin-releasing peptide,Gastrin-releasing peptide,0
8340_9_3,DEFB110,DB110,Beta-defensin 110,2
8345_27_3,GPX7,GPX7,Glutathione peroxidase 7,0
8355_80_3,ISM1,ISM1,Isthmin-1,0
8360_169_3,NCR1,NKp46,Natural cytotoxicity triggering receptor 1,2
8368_102_3,TNFRSF1B,TNF sR-II,Tumor necrosis factor receptor superfamily member 1B,33
8369_102_3,DAG1,DAG1,Dystroglycan,1
8370_102_3,DEFB119,DB119,Beta-defensin 119,2
8372_29_3,CDHR1,CDHR1,Cadherin-related family member 1,0
8383_20_3,C11orf94,CK094,Uncharacterized protein C11orf94,0
8398_277_3,RARRES1,RAR-responsive protein TIG1,Retinoic acid receptor responder protein 1,0
8403_18_3,FASN,Fatty acid synthase,Fatty acid synthase,4
8409_3_3,RSPO2,RSPO2,R-spondin-2,0
8427_118_3,RSPO3,RSPO3,R-spondin-3,0
8450_36_3,ADCYAP1,PACAP-38,Pituitary adenylate cyclase-activating polypeptide 38,0
8459_10_3,BMP6,BMP-6,Bone morphogenetic protein 6,9
8462_18_3,GH1,HGH,Somatotropin,0
8464_31_3,RSPO4,RSPO4,R-spondin-4,0
8465_52_3,CTSH,Cathepsin H,Cathepsin H,2
8467_9_3,INHBA INHBB,Activin AB,Inhibin beta A chain:Inhibin beta B chain heterodimer,2
8468_19_3,KLK3,PSA,Prostate-specific antigen,7
8479_4_3,MMP10,MMP-10,Stromelysin-2,18
8518_55_3,ADM,ADML,ADM,1
8565_160_3,PLVAP,PLVAP,Plasmalemma vesicle-associated protein,0
8587_21_3,SPINK14,ISK52,Serine protease inhibitor Kazal-type 14,0
8601_167_3,LRP1,sLRP1,"Low-density lipoprotein receptor-related protein 1, soluble",9
8631_13_3,ERMAP,ERMAP,Erythroid membrane-associated protein,0
8646_61_3,LRRTM4,LRRT4,Leucine-rich repeat transmembrane neuronal protein 4,0
8653_132_3,DNAJC4,DNJC4,DnaJ homolog subfamily C member 4,0
8660_33_3,OLFML3,OLFL3,Olfactomedin-like protein 3,0
8683_119_3,PILRA,PILRA,Paired immunoglobulin-like type 2 receptor alpha,1
8686_342_3,C11orf73,HIKES,Protein Hikeshi,0
8696_15_3,GAL3ST1,G3ST1,Galactosylceramide sulfotransferase,0
8699_43_3,CRIM1,CRIM1,Cysteine-rich motor neuron 1 protein,0
8700_325_3,GALNT11,GLT11,Polypeptide N-acetylgalactosaminyltransferase 11,0
8702_42_3,OSCAR,OSCAR,Osteoclast-associated immunoglobulin-like receptor,3
8750_46_3,VCL,Vinculin,Vinculin,2
8758_2_3,PCDHA7,PCDA7,Protocadherin alpha-7,0
8765_23_3,EFNB2,EFNB2,Ephrin-B2,3
8766_29_3,LILRA5,LIRA5,Leukocyte immunoglobulin-like receptor subfamily A member 5,1
8773_172_3,EMILIN3,EMIL3,EMILIN-3,0
8790_6_3,ARSA,Arylsulfatase A,Arylsulfatase A,1
8791_151_3,CA5A,Carbonic Anhydrase VA,"Carbonic anhydrase 5A, mitochondrial",0
8807_13_3,SNX1,SNX1,Sorting nexin-1,0
8850_5_3,PLA2G2C,PA2GC,Putative inactive group IIC secretory phospholipase A2,4
8858_21_3,BATF3,BATF3,Basic leucine zipper transcriptional factor ATF-like 3,0
8874_53_3,CLN5,CLN5,Ceroid-lipofuscinosis neuronal protein 5,0
8877_22_3,EVA1C,F176C,Protein eva-1 homolog C,0
8887_21_3,NUDC,NUDC,Nuclear migration protein nudC,0
8889_5_3,CCPG1,CCPG1,Cell cycle progression protein 1,0
8891_7_3,CPVL,CPVL,Probable serine carboxypeptidase CPVL,0
8893_29_3,PARP1,PARP,Poly [ADP-ribose] polymerase 1,2
8897_3_3,LRRC37A2,L37A2,Leucine-rich repeat-containing protein 37A2,0
8916_32_3,STIM1,STIM1,Stromal interaction molecule 1,1
8927_6_3,C7orf73,CG073,Uncharacterized protein C7orf73,0
8929_7_3,BDP1,BDP1,Transcription factor TFIIIB component B'' homolog,0
8931_124_3,G0S2,G0S2,G0/G1 switch protein 2,0
8933_84_3,MEF2C,MEF2C,Myocyte-specific enhancer factor 2C,5
8952_65_3,CSF3,G-CSF,Granulocyte colony-stimulating factor,7
8957_72_3,ERLEC1,XTP3B,Endoplasmic reticulum lectin 1,0
8959_61_3,ADAM17,ADAM 17,Disintegrin and metalloproteinase domain-containing protein 17,9
8960_3_3,ERAP2,LRAP,Endoplasmic reticulum aminopeptidase 2,1
8969_49_3,CD14,CD14,Monocyte differentiation antigen CD14,8
8971_9_3,NRXN1,NRX1A,Neurexin-1,3
8973_23_3,FCRL4,FCRL4,Fc receptor-like protein 4,0
8974_172_3,COL15A1,COFA1,Collagen alpha-1(XV) chain,7
8978_30_3,MAP4K3,M4K3,Mitogen-activated protein kinase kinase kinase kinase 3,1
8980_19_3,CD200R1L,MO2R2,Cell surface glycoprotein CD200 receptor 2,0
8989_40_3,SCUBE1,SCUB1,"Signal peptide, CUB and EGF-like domain-containing protein 1",0
8990_42_3,ATP1B3,AT1B3,Sodium/potassium-transporting ATPase subunit beta-3,1
8991_115_3,FCRL4,FCRL4,Fc receptor-like protein 4,0
8992_1_3,TMEM2,TMEM2,Transmembrane protein 2,0
8999_19_3,CEACAM3,CEAM3,Carcinoembryonic antigen-related cell adhesion molecule 3,2
9002_36_3,SERPINA11,SPA11,Serpin A11,0
9010_3_3,DMPK,DMPK,Myotonin-protein kinase,0
9014_18_3,TMEM25,TMM25,Transmembrane protein 25,0
9022_49_3,DEFB132,DB132,Beta-defensin 132,2
9028_5_3,MTPAP,PAPD1,"Poly(A) RNA polymerase, mitochondrial",0
9051_13_3,IL32,IL32,Interleukin-32,2
9055_81_3,MYZAP,MYZAP,Myocardial zonula adherens protein,0
9061_3_3,ARHGEF10,ARHGA,Rho guanine nucleotide exchange factor 10,0
9063_9_3,APOA5,Apo A-V,Apolipoprotein A-V,3
9065_28_3,TXLNA,TXLNA,Alpha-taxilin,0
9067_152_3,CEP57,CEP57,Centrosomal protein of 57 kDa,0
9075_121_3,KIAA1024,K1024,UPF0258 protein KIAA1024,0
9089_77_3,JPH3,JPH3,Junctophilin-3,0
9094_5_3,CLEC4C,CLC4C,C-type lectin domain family 4 member C,1
9097_5_3,KIAA1324,K1324,UPF0577 protein KIAA1324,0
9107_59_3,ARMC10,ARM10,Armadillo repeat-containing protein 10,0
9110_2_3,SYT17,SYT17,Synaptotagmin-17,1
9116_28_3,HEPACAM2,HECA2,HEPACAM family member 2,0
9125_23_3,MASP1,MASP3,Mannan-binding lectin serine protease 1,1
9127_4_3,SLC26A5,S26A5,Prestin,0
9172_69_3,MMP8,MMP-8,Neutrophil collagenase,22
9176_3_3,MUC1,MUC1,Mucin-1,2
9177_6_3,FAM3B,FAM3B,Protein FAM3B,0
9182_3_3,LRP1,sLRP1,"Low-density lipoprotein receptor-related protein 1, soluble",9
9183_7_3,IFNAR1,IFN-a/b R1,Interferon alpha/beta receptor 1,16
9187_2_3,HMGN1,HMGN1,Non-histone chromosomal protein HMG-14,1
9191_8_3,TFF2,Trefoil factor 2,Trefoil factor 2,0
9197_4_3,LGALS9,LEG9,Galectin-9,3
9218_7_3,FAS,"Fas, soluble",Tumor necrosis factor receptor superfamily member 6,7
9221_6_3,ITPRIPL1,IPIL1,"Inositol 1,4,5-trisphosphate receptor-interacting protein-like 1",0
9227_15_3,PDCD1,PD-1,Programmed cell death protein 1,1
9234_8_3,TWSG1,TWSG1,Twisted gastrulation protein homolog 1,0
9237_54_3,ACP2,Lysosomal acid phosphatase,Lysosomal acid phosphatase,0
9254_18_3,FCER1A,FCERA,High affinity immunoglobulin epsilon receptor subunit alpha,0
9255_5_3,IL17C,IL-17C,Interleukin-17C,23
9256_78_3,NPTX1,NPTX1,Neuronal pentraxin-1,0
9257_14_3,TACO1,TACO1,Translational activator of cytochrome c oxidase 1,0
9264_11_3,CTSO,CATO,Cathepsin O,1
9266_1_3,TREM1,sTREM-1,Triggering receptor expressed on myeloid cells 1,2
9277_16_3,REG3A,PAP1,Regenerating islet-derived protein 3-alpha,0
9279_7_3,IGSF11,IGS11,Immunoglobulin superfamily member 11,0
9284_25_3,SFRP4,SFRP4,Secreted frizzled-related protein 4,4
9294_45_3,MFAP2,MFAP2,Microfibrillar-associated protein 2,0
9297_12_3,B3GNT8,B3GN8,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8",0
9302_90_3,GADD45GIP1,G45IP,Growth arrest and DNA damage-inducible proteins-interacting protein 1,0
9305_89_3,IFNGR2,INGR2,Interferon gamma receptor 2,18
9307_3_3,LYPD3,LYPD3,Ly6/PLAUR domain-containing protein 3,0
9312_8_3,AZGP1,AZGP1,Zinc-alpha-2-glycoprotein,1
9313_27_3,CBLN1,CBLN1,Cerebellin-1,0
9316_67_3,WFDC1,WFDC1,WAP four-disulfide core domain protein 1,0
9326_33_3,ITIH2,ITI heavy chain H2,Inter-alpha-trypsin inhibitor heavy chain H2,3
9327_3_3,LYPD1,LYPD1,Ly6/PLAUR domain-containing protein 1,0
9352_86_3,REG3G,REG3G,Regenerating islet-derived protein 3-gamma,0
9365_91_3,EYS,EYS,Protein eyes shut homolog,0
9368_64_3,LRTM1,LRTM1,Leucine-rich repeat and transmembrane domain-containing protein 1,0
9369_174_3,LRRC4C,NGL1,Leucine-rich repeat-containing protein 4C,1
9384_17_3,CAMP,Cathelicidin peptide,Cathelicidin antimicrobial peptide,3
9385_4_3,GAA,GAA,Lysosomal alpha-glucosidase,2
9392_43_3,MGAT4A,MGT4A,"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A",2
9401_57_3,TRABD2A,CB089,Metalloprotease TIKI1,0
9412_52_3,ACVR2B,Activin RIIB,Activin receptor type-2B,16
9439_454_3,C2orf82,CB082,Uncharacterized protein C2orf82,0
9450_18_3,CDK2AP1,CDKA1,Cyclin-dependent kinase 2-associated protein 1,0
9461_2_3,ICAM4,ICAM4,Intercellular adhesion molecule 4,2
9470_15_3,METTL24,MET24,Methyltransferase-like protein 24,0
9474_22_3,ASGR2,ASGR2,Asialoglycoprotein receptor 2,0
9484_75_3,DSG2,Desmoglein-2,Desmoglein-2,0
9490_3_3,C4orf32,CD032,Uncharacterized protein C4orf32,0
9497_3_3,SMDT1,CV032,"Essential MCU regulator, mitochondrial",0
9506_10_3,APOL1,Apo L1,Apolipoprotein L1,7
9524_46_3,SPATA31D4,S31D4,Putative spermatogenesis-associated protein 31D4,0
9526_3_3,CLPSL1,COLL1,Colipase-like protein 1,0
9545_156_3,GZMK,Granzyme K,Granzyme K,1
9560_56_3,CD96,TACT,T-cell surface protein tactile,1
9569_14_3,SCARA3,SCAR3,Scavenger receptor class A member 3,1
9578_263_3,MANSC4,MANS4,MANSC domain-containing protein 4,0
9585_80_3,CLMP,ACAM,CXADR-like membrane protein,0
9594_30_3,SLC30A5,ZNT5,Zinc transporter 5,0
9598_23_3,CSMD1,CSMD1,CUB and sushi domain-containing protein 1,0
9603_9_3,IL22RA1,IL22RA1,Interleukin-22 receptor subunit alpha-1,4
9627_15_3,VIT,VITRN,Vitrin,0
9715_15_3,IGSF3,IGSF3,Immunoglobulin superfamily member 3,0
9728_4_3,CCNB1IP1,CIP1,E3 ubiquitin-protein ligase CCNB1IP1,0
9738_7_3,FAF2,FAF2,FAS-associated factor 2,1
9745_20_3,EIF4E2,IF4E2,Eukaryotic translation initiation factor 4E type 2,0
9757_29_3,ENAH,ENAH,Protein enabled homolog,1
9764_79_3,HNRNPF,HNRPF,Heterogeneous nuclear ribonucleoprotein F,0
9786_310_3,IER3,IEX1,Radiation-inducible immediate-early gene IEX-1,1
9787_23_3,COLEC12,COLEC12,Collectin-12,2
9793_145_3,IGDCC4,IGDC4,Immunoglobulin superfamily DCC subclass member 4,0
9802_27_3,PNPLA2,PLPL2,Patatin-like phospholipase domain-containing protein 2,9
9808_41_3,TNRC6B,TNR6B,Trinucleotide repeat-containing gene 6B protein,0
9815_5_3,ARHGAP1,RHG01,Rho GTPase-activating protein 1,1
9816_37_3,ISOC1,ISOC1,Isochorismatase domain-containing protein 1,0
9829_91_3,SULT2A1,SULT 2A1,Bile salt sulfotransferase,2
9834_62_3,ADH1B,ADH1B,Alcohol dehydrogenase 1B,1
9835_16_3,ALDH1A3,AL1A3,Aldehyde dehydrogenase family 1 member A3,2
9842_2_3,CTNNB1,b-Catenin,Catenin beta-1,20
9854_36_3,AKR1B1,Aldose reductase,Aldose reductase,0
9864_38_3,TTC1,TTC1,Tetratricopeptide repeat protein 1,0
9872_23_3,CTNNA2,CTNA2,Catenin alpha-2,2
9873_17_3,ESRRA,ERRalpha,Steroid hormone receptor ERR1,0
9885_41_3,RAP2A,RAP2A,Ras-related protein Rap-2a,28
9894_13_3,MYO6,MYO6,Unconventional myosin-VI,1
9909_4_3,CD300LG,CLM9,CMRF35-like molecule 9,1
9927_96_3,TNS4,TENS4,Tensin-4,0
9937_7_3,GJA1,CXA1,Gap junction alpha-1 protein,2
9940_35_3,DUSP28,DUS28,Dual specificity phosphatase 28,0
9955_40_3,RNF148,RN148,RING finger protein 148,0
9964_10_3,MYZAP,MYZAP,Myocardial zonula adherens protein,0
9970_7_3,UBXN4,UBXN4,UBX domain-containing protein 4,0
9994_217_3,ATP4B,ATP4B,Potassium-transporting ATPase subunit beta,0
9997_12_3,UBXN4,UBXN4,UBX domain-containing protein 4,0
9999_1_3,IRF6,IRF6,Interferon regulatory factor 6,0
